RankRank,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
48,Jost,CAN,1,1,106,0.09,0.93,108
48,Maglio,CAN,1,3,20,0.08,4.17,24
48,Pogany,GER,1,0,110,0.08,0.9,111
48,Weske,GER,1,1,19,0.08,4.76,21
48,Krivoshiyska,BUL,1,0,5,0.12,16.67,6
48,A. Saykova,BUL,1,0,6,0.12,14.29,7
48,Rosamaria,BRA,1,0,18,0.11,5.26,19
48,Örge,TUR,1,0,51,0.11,1.92,52
48,Aleksić,SRB,1,1,15,0.12,5.88,17
48,Rodriguez,USA,1,0,44,0.11,2.22,45
48,Pušić,SRB,1,0,11,0.17,8.33,12
48,Orthmann,GER,1,1,4,0.2,16.67,6
48,Jansen,NED,1,0,2,0.25,33.33,3
48,O'Neal,USA,1,0,1,0.25,50.0,2
48,Elouga,FRA,1,0,2,0.25,33.33,3
49,Ndiaye,FRA,0,0,18,0.0,0.0,18
49,Fanguedou,FRA,0,0,23,0.0,0.0,23
49,Depie,FRA,0,0,2,0.0,0.0,2
49,Diouf,FRA,0,0,1,0.0,0.0,1
49,Sylves,FRA,0,1,14,0.0,0.0,15
49,Schalk,FRA,0,0,11,0.0,0.0,11
49,Mayer,FRA,0,0,1,0.0,0.0,1
49,Biemel,FRA,0,0,0,,,0
49,Rotar,FRA,0,0,8,0.0,0.0,8
49,Ngolongolo,FRA,0,0,2,0.0,0.0,2
49,Haewegene,FRA,0,0,16,0.0,0.0,16
49,Aköz,TUR,0,0,36,0.0,0.0,36
49,Baladın,TUR,0,0,13,0.0,0.0,13
49,Diken,TUR,0,0,6,0.0,0.0,6
49,Akyol,TUR,0,0,0,,,0
49,Cebecioğlu,TUR,0,0,3,0.0,0.0,3
49,Uyanık,TUR,0,0,9,0.0,0.0,9
49,Kalaç,TUR,0,0,10,0.0,0.0,10
49,Erkek,TUR,0,0,19,0.0,0.0,19
49,Karutasu,TUR,0,0,8,0.0,0.0,8
49,N.Thatdao,THA,0,0,31,0.0,0.0,31
49,N.Jidapa,THA,0,0,10,0.0,0.0,10
49,J.Sasipaporn,THA,0,0,10,0.0,0.0,10
49,B.Hattaya,THA,0,0,6,0.0,0.0,6
49,K.Pimpichaya,THA,0,1,14,0.0,0.0,15
49,T.Wimonrat,THA,0,0,18,0.0,0.0,18
49,Gryka,POL,0,1,13,0.0,0.0,14
49,Stysiak,POL,0,1,31,0.0,0.0,32
49,Pierzchała,POL,0,0,4,0.0,0.0,4
49,Stefanik,POL,0,0,0,,,0
49,Łysiak,POL,0,0,18,0.0,0.0,18
49,Damaske,POL,0,0,8,0.0,0.0,8
49,Różański,POL,0,0,1,0.0,0.0,1
49,Tang X.,CHN,0,0,4,0.0,0.0,4
49,Wan Z. Y.,CHN,0,0,1,0.0,0.0,1
49,Shan L. Q.,CHN,0,0,0,,,0
49,Yang S. M.,CHN,0,0,2,0.0,0.0,2
49,Dong Y. H.,CHN,0,0,5,0.0,0.0,5
49,Wang M.J.,CHN,0,0,54,0.0,0.0,54
49,Lemmens,BEL,0,0,15,0.0,0.0,15
49,Koulberg,BEL,0,0,8,0.0,0.0,8
49,Debouck,BEL,0,0,31,0.0,0.0,31
49,Rampelberg,BEL,0,1,77,0.0,0.0,78
49,Van Avermaet,BEL,0,0,7,0.0,0.0,7
49,Fransen,BEL,0,0,0,,,0
49,Van Elsen,BEL,0,0,2,0.0,0.0,2
49,Ten Brinke,NED,0,0,6,0.0,0.0,6
49,Gerritsen,NED,0,0,8,0.0,0.0,8
49,Van De Vosse,NED,0,0,12,0.0,0.0,12
49,Baijens,NED,0,0,8,0.0,0.0,8
49,Stuut,NED,0,0,22,0.0,0.0,22
49,Kuipers,NED,0,0,0,,,0
49,Araki,JPN,0,0,8,0.0,0.0,8
49,Kojima,JPN,0,0,43,0.0,0.0,43
49,Yamada,JPN,0,0,2,0.0,0.0,2
49,Airi,JPN,0,0,9,0.0,0.0,9
49,Iwasawa,JPN,0,0,20,0.0,0.0,20
49,Nishimura,JPN,0,1,23,0.0,0.0,24
49,Fukazawa,JPN,0,0,5,0.0,0.0,5
49,Hentz,USA,0,0,45,0.0,0.0,45
49,Igiede,USA,0,1,7,0.0,0.0,8
49,Dodson,USA,0,0,2,0.0,0.0,2
49,Jarvis,USA,0,0,12,0.0,0.0,12
49,Jones-Perry,USA,0,1,16,0.0,0.0,17
49,Franklin,USA,0,2,34,0.0,0.0,36
49,Babcock,USA,0,0,6,0.0,0.0,6
49,McCage,USA,0,0,5,0.0,0.0,5
49,S. Gray,USA,0,0,2,0.0,0.0,2
49,Degradi,ITA,0,0,17,0.0,0.0,17
49,Fersino,ITA,0,0,28,0.0,0.0,28
49,Nwakalor L.,ITA,0,0,3,0.0,0.0,3
49,Omoruyi,ITA,0,0,7,0.0,0.0,7
49,Giovannini,ITA,0,0,4,0.0,0.0,4
49,Antropova,ITA,0,0,5,0.0,0.0,5
49,Malual,ITA,0,0,1,0.0,0.0,1
49,Arias,DOM,0,0,7,0.0,0.0,7
49,Tapia,DOM,0,0,0,,,0
49,Gonzalez,DOM,0,0,10,0.0,0.0,10
49,Peña Isabel,DOM,0,1,25,0.0,0.0,26
49,Puente,DOM,0,0,3,0.0,0.0,3
49,B. Martinez,DOM,0,0,59,0.0,0.0,59
49,L. Martinez,DOM,0,0,9,0.0,0.0,9
49,Dangubić,SRB,0,0,25,0.0,0.0,25
49,Osmajic,SRB,0,0,2,0.0,0.0,2
49,Uzelac,SRB,0,0,21,0.0,0.0,21
49,Zelenovic,SRB,0,0,0,,,0
49,Milojevic,SRB,0,0,0,,,0
49,Kirov,SRB,0,0,1,0.0,0.0,1
49,Bukilić,SRB,0,1,7,0.0,0.0,8
